epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.53541,1.40216,4.31497,1.33164,0.0017,0.45833,0.00887,0.0047,1.12231,4.24514,1.06284,1.111e-05,1.111e-05,1.111e-05
2,7.9004,1.10091,4.22276,1.22446,0.00083,0.20833,0.00639,0.00415,1.13358,4.24244,1.06382,3.3e-05,3.3e-05,3.3e-05
3,8.20453,1.01579,4.04683,1.24305,0.00077,0.20833,0.00694,0.00434,1.1312,4.25774,1.06312,5.44501e-05,5.44501e-05,5.44501e-05
4,8.54638,1.0589,4.25617,1.17418,0.00071,0.20833,0.00989,0.00759,0.9676,4.24114,0.98813,7.54602e-05,7.54602e-05,7.54602e-05
5,8.95463,1.13058,4.12775,1.2199,0.02844,0.45833,0.06705,0.06494,0.86518,4.21846,0.95405,9.60304e-05,9.60304e-05,9.60304e-05
6,9.35689,1.0111,3.97088,1.20391,0.03646,0.5,0.1031,0.09021,0.88543,4.18173,0.95452,0.000116161,0.000116161,0.000116161
7,9.74762,0.95705,3.82179,1.14102,0.02346,0.5,0.07673,0.06061,0.89595,4.16337,0.92075,0.000135851,0.000135851,0.000135851
8,10.1193,0.88426,3.81375,1.18157,0.0116,0.5,0.07405,0.06363,0.85871,4.12212,0.88436,0.000155101,0.000155101,0.000155101
9,10.571,0.72312,3.4848,1.09594,0.00749,0.5,0.08467,0.0742,0.84921,4.11952,0.87355,0.000173911,0.000173911,0.000173911
10,10.9346,0.828,3.64061,1.07622,0.00631,0.45833,0.0798,0.07039,0.85066,4.09315,0.86745,0.000192282,0.000192282,0.000192282
11,11.2954,0.80948,3.34385,1.08944,0.00401,0.45833,0.09465,0.08206,0.83412,4.08192,0.8559,0.000210212,0.000210212,0.000210212
12,11.6569,0.84694,3.19407,1.11931,0.0035,0.45833,0.13043,0.09244,0.80341,4.08132,0.84712,0.000227703,0.000227703,0.000227703
13,12.0415,0.77596,3.1132,1.10412,0.00316,0.45833,0.16993,0.13112,0.80736,4.08326,0.84213,0.000244753,0.000244753,0.000244753
14,12.4205,0.92621,3.13358,1.15158,0.10279,0.50833,0.22791,0.16304,0.75609,4.07738,0.83134,0.000261364,0.000261364,0.000261364
15,12.7959,0.78314,3.19736,1.06004,0.04451,0.50833,0.20315,0.17072,0.81217,4.07081,0.86827,0.000277534,0.000277534,0.000277534
16,13.2582,0.86853,2.931,1.12106,0.07207,0.58333,0.23779,0.17951,0.78182,4.06709,0.86109,0.000293265,0.000293265,0.000293265
17,13.6354,0.75776,2.88208,1.10927,0.09092,0.60833,0.25097,0.18431,0.77275,4.09605,0.87821,0.000308556,0.000308556,0.000308556
18,14.0354,0.83224,2.99903,1.15089,0.08269,0.65833,0.2702,0.20078,0.80774,4.09821,0.88647,0.000323407,0.000323407,0.000323407
19,14.415,0.7212,2.80126,1.04263,0.07965,0.65833,0.27206,0.20507,0.80759,4.07929,0.88517,0.000337817,0.000337817,0.000337817
20,14.8015,0.81494,2.73915,1.11793,0.05411,0.63333,0.27877,0.19106,0.77526,4.04865,0.85178,0.000351788,0.000351788,0.000351788
21,15.168,0.7548,2.57403,1.10806,0.03177,0.60833,0.26292,0.16923,0.79782,4.04421,0.87635,0.000365319,0.000365319,0.000365319
22,15.5361,0.80993,2.36192,1.01765,0.02547,0.63333,0.20107,0.14283,0.89919,4.0437,0.97036,0.00037841,0.00037841,0.00037841
23,15.9844,0.80968,2.41688,1.05568,0.01903,0.60833,0.22498,0.13471,0.98889,4.0686,1.0575,0.000391061,0.000391061,0.000391061
24,16.3454,0.77321,2.22015,0.99099,0.01839,0.60833,0.24038,0.14423,0.99297,4.08815,1.10878,0.000403272,0.000403272,0.000403272
25,16.709,0.79132,2.26021,1.10244,0.01519,0.60833,0.27176,0.14942,0.96209,4.05845,1.11493,0.000415043,0.000415043,0.000415043
26,17.0697,0.8025,2.46603,1.08242,0.01299,0.58333,0.23951,0.13585,0.9799,4.06223,1.14348,0.000426374,0.000426374,0.000426374
27,17.4292,0.87811,2.34583,1.07761,0.01426,0.58333,0.3827,0.23502,0.91001,4.04681,1.01443,0.000437265,0.000437265,0.000437265
28,17.7888,0.90289,2.37189,1.15009,0.01426,0.58333,0.3827,0.23502,0.91001,4.04681,1.01443,0.000447716,0.000447716,0.000447716
29,18.167,0.81245,2.17269,1.12858,0.01362,0.58333,0.3235,0.25037,0.83878,3.98097,0.94543,0.000457728,0.000457728,0.000457728
30,18.6431,0.7357,2.08469,1.06327,0.64502,0.45833,0.36665,0.26876,0.86376,3.90515,0.94135,0.000467299,0.000467299,0.000467299
31,19.0054,0.86216,2.11337,1.05485,0.64502,0.45833,0.36665,0.26876,0.86376,3.90515,0.94135,0.00047643,0.00047643,0.00047643
32,19.3845,0.91121,2.11731,1.21774,0.777,0.41096,0.29668,0.22563,0.86625,3.7745,0.92116,0.000485121,0.000485121,0.000485121
33,19.7495,0.90655,2.55787,1.13749,0.75,0.12979,0.31076,0.23891,0.90318,3.67523,0.91703,0.000493373,0.000493373,0.000493373
34,20.1027,0.78748,2.28046,1.09303,0.75,0.12979,0.31076,0.23891,0.90318,3.67523,0.91703,0.000501184,0.000501184,0.000501184
35,20.4692,0.76152,1.91375,0.99709,0.75,0.12757,0.35964,0.24556,0.84726,3.67049,0.89459,0.000508556,0.000508556,0.000508556
